ELKI,x,y,Forest_100,Forest_200,Forest_300,Forest_400,Forest_500,Forest_600,Forest_700,Forest_800,Forest_900,Forest_1000,Forest_1100,Forest_1200,Grass_100,Grass_200,Grass_300,Grass_400,Grass_500,Grass_600,Grass_700,Grass_800,Grass_900,Grass_1000,Grass_1100,Grass_1200,Water_100,Water_200,Water_300,Water_400,Water_500,Water_600,Water_700,Water_800,Water_900,Water_1000,Water_1100,Water_1200,PREC_100,PREC_200,PREC_300,PREC_400,PREC_500,PREC_600,PREC_700,PREC_800,PREC_900,PREC_1000,PREC_1100,PREC_1200
0,547237.3706,3512979.115,0,0,0,0,0,0,0,0,0,0,0,0.000995025,0,0.240875912,0.375394322,0.508137432,0.606613455,0.6849642,0.737273259,0.731751008,0.723502304,0.724393723,0.724613555,0.72238806,0,0,0,0,0,0,0,0,0,0,0,0,385.3100446,385.3135077,385.3282813,385.3455312,385.3638701,385.3803265,385.3955335,385.4076546,385.4169934,385.4275135,385.4420486,385.4631568
1,545857.3706,3493299.115,0,0.00729927,0.012618297,0.007233273,0.004561003,0.00318218,0.00234055,0.001791312,0.002126905,0.005135521,0.004280618,0.00358209,0.405405405,0.423357664,0.552050473,0.609403255,0.62713797,0.62052506,0.608543008,0.614420063,0.595533499,0.561483595,0.550535077,0.546467662,0,0,0,0,0,0,0,0,0,0,0,0,415.2076936,415.2586833,415.3412883,415.4267539,415.5227462,415.6151671,415.7067869,415.7990638,415.8897643,415.9844813,416.0751388,416.1808488
1,544837.3706,3492279.115,0,0,0,0,0,0,0.00234055,0.009404389,0.010634527,0.013124108,0.020689655,0.023283582,0.054054054,0.124087591,0.214511041,0.168173599,0.169897377,0.181384248,0.190754827,0.193013883,0.194966324,0.199429387,0.2156956,0.23641791,0.081081081,0.03649635,0.034700315,0.037974684,0.041049031,0.043754972,0.040374488,0.032243618,0.025522864,0.020542083,0.017122473,0.014328358,430.5169307,430.5169332,430.5168337,430.5190461,430.5230674,430.5283304,430.5397561,430.5567625,430.5771779,430.6012906,430.6258434,430.6564177
0,546427.3706,3488889.115,0.108108108,0.116788321,0.123028391,0.139240506,0.145952109,0.190135243,0.212990053,0.210479176,0.218007799,0.218544936,0.216409037,0.209154229,0,0,0.078864353,0.126582278,0.13340935,0.141607001,0.140433002,0.139274519,0.146401985,0.15149786,0.165041617,0.174129353,0.054054054,0.131386861,0.126182965,0.099457505,0.086659065,0.07557677,0.066705676,0.05687416,0.046082949,0.037089872,0.032104637,0.030646766,439.8564577,439.8636049,439.876074,439.8996027,439.9309572,439.9613759,439.977056,439.9770239,439.96438,439.9411277,439.912916,439.8777255
1,548617.3706,3489549.115,0,0.01459854,0.034700315,0.04159132,0.049030787,0.046937152,0.042129901,0.037617555,0.034030486,0.039372325,0.034244946,0.030447761,0,0.04379562,0.100946372,0.09403255,0.087799316,0.071599045,0.074897601,0.112852665,0.147819922,0.165192582,0.196432818,0.207960199,0,0,0,0,0,0,0,0,0,0,0.001426873,0.00278607,434.354545,434.3545472,434.3535324,434.3513351,434.3561838,434.3733828,434.4001709,434.43101,434.4640775,434.4999522,434.5322888,434.5631258
0,541297.3706,3486819.115,0.027027027,0.00729927,0.006309148,0.005424955,0.004561003,0.003977725,0.008777063,0.011643529,0.021978022,0.043081312,0.053507729,0.058905473,0,0,0,0,0.001140251,0.009546539,0.008191925,0.007165249,0.005671748,0.005420827,0.005231867,0.008557214,0,0,0,0,0,0,0,0,0,0,0,0,469.4341233,469.4398095,469.4299475,469.4063025,469.3741169,469.3390191,469.300175,469.2515758,469.192203,469.1184119,469.0373622,468.9372194
0,541897.3706,3486099.115,0.081081081,0.065693431,0.085173502,0.133815552,0.13340935,0.132060461,0.156231714,0.187639946,0.212336051,0.243651926,0.248989298,0.248557214,0,0,0,0.003616637,0.007981756,0.008750994,0.012287888,0.012987013,0.010280043,0.008273894,0.006896552,0.007960199,0,0,0,0,0,0,0,0,0,0,0,0,466.406198,466.3616217,466.3006784,466.2427041,466.1782149,466.11653,466.0557426,465.9934644,465.9287556,465.8616492,465.7990468,465.7300121
1,542167.3706,3483939.115,0.054054054,0.131386861,0.293375394,0.350813743,0.362599772,0.361972951,0.349327092,0.338557994,0.31371854,0.302425107,0.294649227,0.294527363,0.432432432,0.437956204,0.296529968,0.253164557,0.206385405,0.198090692,0.18548859,0.175100761,0.164835165,0.160912981,0.160523187,0.169950249,0,0,0,0,0,0,0,0,0,0,0,0,461.5708494,461.5708485,461.5723642,461.5743136,461.5757158,461.5762024,461.577898,461.580288,461.5820144,461.5833213,461.5839491,461.5846228
1,540877.3706,3482889.115,0.081081081,0.175182482,0.132492114,0.095840868,0.082098062,0.076372315,0.076067876,0.063591581,0.060616803,0.057346648,0.062068966,0.067263682,0.486486486,0.459854015,0.460567823,0.535262206,0.582668187,0.604614161,0.612053833,0.596059113,0.582417582,0.577175464,0.576218787,0.574527363,0,0,0,0,0,0,0,0,0,0,0,0,454.553574,454.5535719,454.553675,454.5619672,454.5802249,454.6040505,454.634679,454.670452,454.7094949,454.752565,454.7936439,454.8388164
1,544717.3706,3483279.115,0.702702703,0.781021898,0.753943218,0.712477396,0.65336374,0.583929992,0.548858982,0.505150022,0.457993619,0.417403709,0.413079667,0.420298507,0,0.01459854,0.050473186,0.081374322,0.100342075,0.108989658,0.122293739,0.133900582,0.137539879,0.140941512,0.130796671,0.114825871,0,0,0,0,0,0,0,0,0,0,0,0,467.8082193,467.7479355,467.6817989,467.6219507,467.5475272,467.4621724,467.3669079,467.2651635,467.1613357,467.0507036,466.941221,466.8168956
1,546277.3706,3483279.115,0.72972973,0.759124088,0.760252366,0.75045208,0.762827822,0.76531424,0.726155647,0.696372593,0.674228997,0.660485021,0.652318668,0.64318408,0,0,0,0,0,0,0.015798713,0.031347962,0.036157391,0.038516405,0.041617122,0.048557214,0,0,0,0,0,0,0,0,0,0,0,0,468.1976854,468.175558,468.1515576,468.129906,468.1066892,468.0861281,468.0670424,468.047614,468.0285863,468.0086162,467.985948,467.9567434
1,547477.3706,3482049.115,0.648648649,0.547445255,0.599369085,0.632911392,0.705815279,0.748607796,0.758923347,0.776085983,0.767812832,0.748359486,0.747205707,0.731940299,0,0,0,0,0,0.00318218,0.002925688,0.00223914,0.001772421,0.001426534,0.001664685,0.002189055,0,0,0,0,0,0,0,0,0,0,0,0,476.9958183,476.9702601,476.9419628,476.9161709,476.8864959,476.8568468,476.8245884,476.7829234,476.7323209,476.6671072,476.5959609,476.5100549
1,548377.3706,3482979.115,0.243243243,0.321167883,0.463722397,0.513562387,0.537058153,0.558472554,0.602691633,0.61038961,0.604395604,0.618259629,0.621403092,0.623283582,0,0.094890511,0.063091483,0.037974684,0.02622577,0.027048528,0.029842013,0.026869682,0.024104927,0.019400856,0.018549346,0.016915423,0,0,0,0,0,0,0,0,0,0,0,0,471.6989829,471.6942228,471.684972,471.6779328,471.674929,471.6749177,471.6762874,471.6721737,471.6563589,471.6276776,471.5928285,471.5495792
0,552067.3706,3499629.115,0,0,0,0,0,0.00159109,0.001755413,0.001343484,0.001063453,0.00171184,0.002853746,0.004179104,0,0.03649635,0.123028391,0.168173599,0.217787913,0.250596659,0.268578116,0.282131661,0.297057781,0.316405136,0.332223543,0.337114428,0.459459459,0.364963504,0.255520505,0.200723327,0.160775371,0.128082737,0.120538327,0.117778773,0.113080468,0.102710414,0.096313912,0.087164179,361.5844768,361.5700806,361.5432529,361.5198941,361.5029874,361.4958616,361.4983221,361.5180074,361.5509121,361.5960844,361.6473631,361.7108827
1,554947.3706,3500019.115,0,0,0,0,0,0,0,0,0,0,0.000237812,0.000199005,0.027027027,0.04379562,0.044164038,0.115732369,0.192702395,0.252983294,0.295494441,0.332736229,0.359447005,0.37660485,0.391200951,0.390646766,0,0,0,0,0,0,0,0,0,0,0,0,345.379303,345.4407353,345.5393658,345.637695,345.7566481,345.8846141,346.0210208,346.16408,346.3081583,346.4594084,346.6011808,346.7519768
1,556747.3706,3499809.115,0.297297297,0.131386861,0.066246057,0.039783002,0.033067275,0.028639618,0.027501463,0.02507837,0.023395959,0.020542083,0.018787158,0.015721393,0.162162162,0.277372263,0.406940063,0.428571429,0.376282782,0.30867144,0.274429491,0.267801164,0.252392769,0.235663338,0.224019025,0.211343284,0,0,0.006309148,0.016274864,0.014823261,0.010342084,0.007606788,0.005821764,0.004608295,0.003708987,0.003091558,0.002587065,339.3189491,339.3365198,339.4664711,339.6385954,339.8394705,340.0367199,340.2330493,340.4224589,340.6004374,340.7748385,340.9281029,341.0855923
0,542737.3706,3481719.115,0,0,0.03785489,0.057866184,0.077537058,0.110580748,0.123464014,0.129422302,0.123006026,0.110984308,0.108442331,0.12119403,0.135135135,0.379562044,0.406940063,0.390596745,0.34663626,0.337311058,0.349912229,0.382445141,0.417936902,0.44935806,0.456599287,0.437412935,0,0,0,0,0,0,0,0,0,0,0,0,455.1303389,455.1440427,455.1589992,455.1742945,455.1952643,455.2178233,455.2407617,455.2619122,455.2831975,455.3084115,455.3351494,455.3671144
1,540037.3706,3470229.115,0,0.01459854,0.012618297,0.007233273,0.004561003,0.00318218,0.008191925,0.007613077,0.0067352,0.005420827,0.00451843,0.003781095,0.783783784,0.664233577,0.608832808,0.585895118,0.603192702,0.62211615,0.644236396,0.68114644,0.690535271,0.708416548,0.735552913,0.760597015,0.216216216,0.284671533,0.283911672,0.276672694,0.215507412,0.177406523,0.148039789,0.130765786,0.138248848,0.135235378,0.122235434,0.107860697,432.0228758,432.0238892,432.0256732,432.0275533,432.033368,432.0465009,432.0658337,432.0888616,432.1146181,432.1438364,432.1726622,432.2051276
1,540457.3706,3474429.115,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.984227129,0.949367089,0.945267959,0.925218775,0.911644236,0.917599642,0.910315491,0.892439372,0.882996433,0.876616915,0,0,0,0,0,0,0,0,0.000708968,0.009700428,0.012604043,0.011144279,436.2079979,436.2194619,436.2345085,436.2486494,436.264561,436.2799332,436.2950284,436.3106017,436.3271426,436.3469324,436.3680615,436.3931261
1,541987.3706,3476949.115,0,0,0,0,0,0,0.005266238,0.005821764,0.004608295,0.005135521,0.009512485,0.011741294,0.945945946,0.912408759,0.914826498,0.934900542,0.913340935,0.906125696,0.881217086,0.875951635,0.879475363,0.87617689,0.852794293,0.831243781,0,0,0,0,0,0,0,0,0,0,0,0.001791045,439.8652938,439.8709296,439.8953136,439.9295803,439.9716566,440.0148724,440.0595683,440.1061469,440.1557032,440.2153152,440.2778277,440.3513512
1,538927.3706,3480279.115,0,0,0,0,0,0,0,0,0,0,0,0,0.783783784,0.715328467,0.687697161,0.65641953,0.681870011,0.69769292,0.719719134,0.763546798,0.780928749,0.789158345,0.796432818,0.804179104,0,0.00729927,0.094637224,0.088607595,0.057012543,0.039777247,0.029256875,0.023287058,0.021978022,0.021968616,0.021878716,0.018706468,445.7922528,445.7929171,445.7992553,445.8104709,445.8249028,445.8401928,445.8564908,445.8770185,445.9006552,445.9277698,445.9560971,445.9899253
1,533617.3706,3480849.115,0,0,0,0,0,0,0.003510825,0.008956561,0.015242822,0.019686163,0.029250892,0.037810945,0.648648649,0.569343066,0.599369085,0.575045208,0.538198404,0.542561655,0.559391457,0.540528437,0.533498759,0.536376605,0.550059453,0.565373134,0,0,0,0,0,0,0,0,0,0,0,0,458.3937733,458.3937757,458.3937756,458.3935698,458.3884058,458.3749387,458.3606201,458.3476891,458.3366059,458.3274831,458.3209785,458.3162811
0,533617.3706,3476529.115,0.162162162,0.167883212,0.19873817,0.200723327,0.156214367,0.14638027,0.17378584,0.180474698,0.160935838,0.1489301,0.141498216,0.133532338,0.837837838,0.635036496,0.615141956,0.556962025,0.578107184,0.564041368,0.539496782,0.520824004,0.524991138,0.536091298,0.539595719,0.544875622,0,0,0,0,0,0,0,0,0,0,0,0,461.5395928,461.5395933,461.5373179,461.5261851,461.5094277,461.4909425,461.4714499,461.4501268,461.4264524,461.3996007,461.3730463,461.343199
